dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,VISIT-1.0,4070174.893,4070174.893,1007.644412,3.965954932,0.175200837,0.163534344,52.03776641,2017.467445,0.323510257,0.161580452,0.137145657,Econ/Fin,1
ett1/W/short,VISIT-1.0,1571455.143,1571455.143,970.0256696,1.768920788,0.615042823,0.625175476,12.79961522,1253.576939,0.498828184,0.385996366,0.311825147,Energy,7
bizitobs_l2c/H/short,VISIT-1.0,263.3054936,263.3054936,11.03876798,1.086094004,1.288993707,1.012692319,9.95825254,16.22669078,0.87466019,0.595017865,0.486324806,Web/CloudOps,7
bizitobs_l2c/H/medium,VISIT-1.0,538.6467634,538.6467634,15.81157924,1.485089827,1.147788204,1.761468426,15.52579098,23.2087648,1.405325961,0.957415139,0.863952307,Web/CloudOps,7
bizitobs_l2c/H/long,VISIT-1.0,326.6440476,326.6440476,13.93701017,1.427895214,2.597594802,0.906076001,17.13398355,18.07329653,1.103969115,0.851312806,0.817819415,Web/CloudOps,7
ett2/D/short,VISIT-1.0,122878.946,122878.946,211.5605159,1.390114316,0.471371266,0.14168287,32.70861808,350.5409335,0.200623825,0.121081665,0.153311002,Energy,7
solar/W/short,VISIT-1.0,2813150.832,2813150.832,1341.813412,1.470350678,0.308657208,0.253479756,11.58322843,1677.245013,0.34236764,0.273897664,0.209747628,Energy,1
jena_weather/D/short,VISIT-1.0,633.5864087,633.5864087,13.13665675,1.57341403,1.770713535,0.485413685,31.00640731,25.17114238,0.151571417,0.079104144,0.210590857,Nature,21
saugeen/M/short,VISIT-1.0,1026.854167,1026.854167,21.00479853,1.230295346,0.731013162,0.605871609,19.16389429,32.04456532,0.962073984,0.630627066,0.767893298,Nature,1
kdd_cup_2018/H/short,VISIT-1.0,5594.245733,5594.245733,31.05850707,1.280008297,1.348935587,0.619393596,14.04666416,74.79469054,1.565588323,0.650110799,0.561863083,Nature,1
