dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/H/medium,VISIT-1.0,5746.392704,5746.392704,32.48218551,1.445873627,1.517489073,0.706453783,35.98733672,75.8049649,1.586735191,0.679910965,0.999670725,Nature,1
kdd_cup_2018/H/long,VISIT-1.0,4181.467666,4181.467666,25.86831547,1.180184135,1.097597686,0.715284065,43.77688579,64.66426885,1.517285016,0.606975199,1.246051173,Nature,1
loop_seattle/H/short,VISIT-1.0,193.1145562,193.1145562,7.998571199,1.591891706,0.301288186,0.160680704,28.11044966,13.89656634,0.245983358,0.141582845,0.182063651,Transport,1
loop_seattle/H/medium,VISIT-1.0,216.4493969,216.4493969,8.814659826,1.776697704,0.321737819,0.172385673,87.84401294,14.71221931,0.260036822,0.155798121,0.457648372,Transport,1
loop_seattle/H/long,VISIT-1.0,210.4300654,210.4300654,8.603209924,1.751202365,0.325517751,0.173579191,108.1029343,14.50620782,0.25924536,0.153750882,0.556466107,Transport,1
ett1/H/short,VISIT-1.0,345.0893973,345.0893973,10.1559361,1.825025819,0.92468516,0.511923508,15.40281213,18.57658196,0.86704508,0.474019088,0.40679017,Energy,7
ett1/H/medium,VISIT-1.0,471.7840402,471.7840402,11.98614328,2.032829042,9.7287E+12,0.649679929,46.87255743,21.72059024,1.040364784,0.57410785,0.841462733,Energy,7
ett1/H/long,VISIT-1.0,443.524504,443.524504,12.35270544,2.272855241,5.65251E+12,0.74904417,57.27242142,21.06002146,1.008518815,0.591544309,0.986852633,Energy,7
ett1/D/short,VISIT-1.0,57976.62857,57976.62857,154.9789435,1.778369788,1.162303816,0.516482592,23.47582378,240.7833644,0.632425493,0.407057336,0.408433578,Energy,7
covid_deaths/D/short,VISIT-1.0,4435194.482,4435194.482,353.7093985,46.91239826,0.132724403,0.177811047,1472.778412,2105.990143,0.79238904,0.133084883,0.126723278,Healthcare,1
m4_quarterly/Q/short,VISIT-1.0,2269820.328,2269820.328,655.5604531,1.477034188,0.131824273,0.116102672,13.67561058,1506.59229,0.252177019,0.109729276,0.094339172,Econ/Fin,1
ett2/15T/short,VISIT-1.0,19.81998698,19.81998698,3.024351283,1.244310243,0.162888843,0.194680641,13.57198029,4.451964396,0.211350588,0.143576714,0.121073408,Energy,7
ett2/15T/medium,VISIT-1.0,18.14149058,18.14149058,2.899889323,1.2168516,0.184423746,0.210481383,34.4803321,4.259282871,0.226984894,0.154540351,0.242030651,Energy,7
ett2/15T/long,VISIT-1.0,16.58546007,16.58546007,2.883156932,1.300946032,0.200366815,0.249193588,42.00999676,4.072525024,0.21703223,0.153648652,0.28312587,Energy,7
bizitobs_l2c/5T/short,VISIT-1.0,21.96857794,21.96857794,2.758282761,0.283065772,0.167744142,0.158463961,3.090979,4.68706496,0.160972783,0.094730595,0.080084607,Web/CloudOps,7
bizitobs_l2c/5T/medium,VISIT-1.0,157.3007653,157.3007653,8.568459024,0.825571982,0.624184243,0.870289865,6.329260543,12.54196019,0.659891543,0.450826949,0.358834137,Web/CloudOps,7
bizitobs_l2c/5T/long,VISIT-1.0,352.5859524,352.5859524,13.23037326,1.248406562,0.986276036,1.211129243,9.782056549,18.77727223,1.054315764,0.742865679,0.591979541,Web/CloudOps,7
solar/10T/short,VISIT-1.0,36.58416923,36.58416923,3.299997772,1.449262586,2.656033769,1.410252805,17.73965266,6.048484871,1.759503594,0.959968995,0.94314235,Energy,1
solar/10T/medium,VISIT-1.0,80.77481614,80.77481614,5.939547217,2.564335861,2.861541304,1.638630108,33.25251391,8.987481078,1.994357744,1.318009115,1.37370654,Energy,1
solar/10T/long,VISIT-1.0,94.56340576,94.56340576,4.626759278,2.017857284,1,2,40.63693057,9.724371741,2.101767383,1,1.549016337,Energy,1
temperature_rain/D/short,VISIT-1.0,310.6491145,310.6491145,7.890313322,2.011535765,97.02872694,1.333996753,47.47823471,17.62524083,2.074956849,0.928898494,1.26794552,Nature,1
m4_hourly/H/short,VISIT-1.0,57543048.45,57543048.45,1218.064815,11.6076876,0.377169475,0.430029877,75.79187144,7585.713444,1.035617322,0.166292733,0.1364885,Econ/Fin,1
m4_daily/D/short,VISIT-1.0,497624.2961,497624.2961,180.8301839,3.278424297,0.042176488,0.030452517,32.19152087,705.4249046,0.108968652,0.027933266,0.024356148,Econ/Fin,1
ett2/H/short,VISIT-1.0,171.9223772,171.9223772,8.963274275,1.087203562,0.180469485,0.159993217,14.11974225,13.11191737,0.166295595,0.113679257,0.112760802,Energy,7
ett2/H/medium,VISIT-1.0,411.3631696,411.3631696,13.14045526,1.427555015,0.241897311,0.216115606,43.67294504,20.28208987,0.273314204,0.177076085,0.294769337,Energy,7
ett2/H/long,VISIT-1.0,294.4490741,294.4490741,11.49503555,1.322869935,0.217939276,0.22216193,53.4807446,17.15951847,0.234986398,0.157415665,0.349377097,Energy,7
car_parts/M/short,VISIT-1.0,2.995217218,2.995217218,0.689584164,1.212543321,0.849602967,1.662189172,25.79123698,1.730669587,4.149968136,1.653552087,2.499976551,Sales,1
loop_seattle/5T/short,VISIT-1.0,101.2430878,101.2430878,5.645426243,0.892790556,0.138169352,0.120066845,14.59909683,10.06196242,0.172540442,0.096806597,0.11567082,Transport,1
loop_seattle/5T/medium,VISIT-1.0,392.4867645,392.4867645,12.87618314,1.987133946,0.362632775,0.298790876,44.14315347,19.81127872,0.352483362,0.22909376,0.326867287,Transport,1
loop_seattle/5T/long,VISIT-1.0,213.5793192,213.5793192,9.076179516,1.408835031,0.341687965,0.187752943,54.01155639,14.61435319,0.258384755,0.160468711,0.360518643,Transport,1
loop_seattle/D/short,VISIT-1.0,58.65786974,58.65786974,5.940060831,1.732395706,0.110958236,0.107067474,21.84412264,7.658842585,0.136873756,0.106156828,0.10325476,Transport,1
sz_taxi/15T/short,VISIT-1.0,33.12582751,33.12582751,3.944724655,0.785596893,1.31327E+12,0.528322627,22.64618053,5.755504106,0.538164249,0.368848626,0.661161122,Transport,1
sz_taxi/15T/medium,VISIT-1.0,30.58242521,30.58242521,3.974116086,0.779204933,9.99783E+12,0.528268772,70.06940102,5.530137902,0.514671638,0.369857836,1.935540324,Transport,1
sz_taxi/15T/long,VISIT-1.0,28.46968483,28.46968483,3.853752114,0.742344567,9.28E+12,0.535356397,85.04158178,5.335699095,0.493862804,0.356696431,2.401991848,Transport,1
m_dense/H/short,VISIT-1.0,358130.1511,358130.1511,343.1718142,2.713986491,1.040155132,0.729478818,28.45728067,598.439764,1.06148302,0.608701286,0.538739792,Transport,1
m_dense/H/medium,VISIT-1.0,360975.2533,360975.2533,348.6905208,2.735230066,1.184018236,0.730119019,88.57658718,600.8121614,1.045337256,0.606677454,1.202480846,Transport,1
m_dense/H/long,VISIT-1.0,395605.0489,395605.0489,362.1829012,2.855573014,1.090078374,0.769633608,108.3422758,628.9714214,1.088842509,0.626992142,1.442547328,Transport,1
electricity/15T/short,VISIT-1.0,603056.6183,603056.6183,127.2660453,2.456280689,0.353335054,0.29915505,20.02853464,776.5672014,1.530767033,0.250866462,0.220644107,Energy,1
electricity/15T/medium,VISIT-1.0,2925108.411,2925108.411,223.1893059,3.457518566,0.403544747,0.411898807,54.65956633,1710.294832,2.947010279,0.384577657,0.429820293,Energy,1
electricity/15T/long,VISIT-1.0,6142069.744,6142069.744,249.0666348,3.412327584,0.515920899,0.38442258,66.52365217,2478.319944,3.909853642,0.392933161,0.477969644,Energy,1
saugeen/D/short,VISIT-1.0,994.7777083,994.7777083,15.3725,3.413049306,0.471352183,0.424237493,58.71112805,31.54009683,1.021591251,0.497918938,0.585014174,Nature,1
bitbrains_rnd/H/short,VISIT-1.0,4185060.895,4185060.895,250.8509574,5.871568507,3.241198486,0.307978925,242.3009905,2045.742138,8.953168487,1.09784652,1.459027782,Web/CloudOps,2
bitbrains_rnd/5T/short,VISIT-1.0,1851989.884,1851989.884,130.1622265,2.056416521,1.638589482,0.345479713,132.3593826,1360.87835,5.56832134,0.532586255,0.868334637,Web/CloudOps,2
bitbrains_rnd/5T/medium,VISIT-1.0,2446023.53,2446023.53,157.9152216,4.774544594,0.575097733,0.396343265,389.5685679,1563.976832,6.580448104,0.664429869,2.00820742,Web/CloudOps,2
bitbrains_rnd/5T/long,VISIT-1.0,4798684.045,4798684.045,287.5256743,3.986885675,5.680248975,0.429596681,405.5798989,2190.589885,8.391656317,1.101446079,2.361494687,Web/CloudOps,2
m_dense/D/short,VISIT-1.0,39929.67111,39929.67111,118.3829977,1.669336881,0.253252396,0.255737599,23.29187224,199.8241004,0.345925076,0.20493848,0.226865657,Transport,1
saugeen/W/short,VISIT-1.0,1800.489258,1800.489258,24.55240936,1.990658005,0.824161148,0.557866096,23.29106807,42.43217244,1.280850408,0.741134893,0.734035221,Nature,1
jena_weather/H/short,VISIT-1.0,2411.425856,2411.425856,12.32368111,0.647771746,1.095784091,0.478919559,38.34991731,49.10627105,0.30101828,0.075543372,0.307798359,Nature,21
jena_weather/H/medium,VISIT-1.0,2461.295238,2461.295238,13.41107236,0.87273452,2.037994608,0.523498309,118.9541502,49.61144261,0.303581216,0.08206473,0.927416584,Nature,21
jena_weather/H/long,VISIT-1.0,3726.665344,3726.665344,17.7026393,1.465794979,2.372808282,0.575393314,144.3404618,61.04641958,0.367567081,0.106589502,1.140949148,Nature,21
bitbrains_fast_storage/H/short,VISIT-1.0,3129276.37,3129276.37,280.240682,1.407856421,4.944441148,0.343177427,60.99672161,1768.97608,5.042156289,0.79877695,1.205840521,Web/CloudOps,2
kdd_cup_2018/D/short,VISIT-1.0,3183.237725,3183.237725,23.88461348,1.497034374,0.589306447,0.572187985,24.58061205,56.42018898,1.263872162,0.535040712,0.674506129,Nature,1
sz_taxi/H/short,VISIT-1.0,14.13685543,14.13685543,2.687046149,0.834605694,0.968867636,0.393664662,25.40349876,3.759900986,0.350257979,0.25031493,0.485820598,Transport,1
ett1/15T/short,VISIT-1.0,18.24846889,18.24846889,2.618416632,1.969401564,0.931844051,0.560631198,12.69592547,4.271822666,0.807552299,0.494989735,0.384811451,Energy,7
ett1/15T/medium,VISIT-1.0,25.97430308,25.97430308,2.789420263,1.823105935,1.108917113,0.616878763,32.36203973,5.0964991,0.971397768,0.53166626,0.617472453,Energy,7
ett1/15T/long,VISIT-1.0,28.41756696,28.41756696,3.035556796,2.044637829,1.17034664,0.679739597,39.70402517,5.330812974,1.016058224,0.578580127,0.715586134,Energy,7
m4_monthly/M/short,VISIT-1.0,2501230.971,2501230.971,671.2661074,1.205128988,0.190140337,0.152564835,12.6687395,1581.528049,0.328695822,0.139512141,0.129360852,Econ/Fin,1
electricity/W/short,VISIT-1.0,3.17381E+11,3.17381E+11,56604.72342,2.089699506,0.285636731,0.119636476,15.93852836,563365.5471,1.285414267,0.129153299,0.099303202,Energy,1
bitbrains_fast_storage/5T/short,VISIT-1.0,2299344.813,2299344.813,173.2818785,1.094814628,2.432706843,0.374655124,70.19326242,1516.359065,4.760992443,0.544062243,0.892946468,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,VISIT-1.0,3704568.418,3704568.418,280.3612715,1.271487397,4.117625748,0.449972877,196.7313435,1924.725543,5.847847822,0.85181498,2.049123907,Web/CloudOps,2
bitbrains_fast_storage/5T/long,VISIT-1.0,3499892.295,3499892.295,289.3521681,1.190359881,1.795788841,0.509946383,231.5671749,1870.799908,4.943965673,0.764671401,2.122607238,Web/CloudOps,2
hospital/M/short,VISIT-1.0,5851.362451,5851.362451,24.06573229,0.96760003,0.243461267,0.216033445,11.84682518,76.49419881,0.277691705,0.087364197,0.086342501,Healthcare,1
us_births/W/short,VISIT-1.0,5288246.857,5288246.857,1720.321429,1.563420434,0.023174324,0.02322968,13.27919038,2299.61885,0.0312171,0.023353195,0.019296796,Healthcare,1
us_births/M/short,VISIT-1.0,261017514.7,261017514.7,13253.95833,1.499460001,0.040852939,0.041291296,18.13215937,16156.03648,0.050180539,0.041166704,0.039028588,Healthcare,1
jena_weather/10T/short,VISIT-1.0,1652.781548,1652.781548,10.02148825,0.363827245,0.418047344,0.42863536,51.18596443,40.65441609,0.252514877,0.062246002,0.287723341,Nature,21
jena_weather/10T/medium,VISIT-1.0,3627.517172,3627.517172,15.93033121,0.760320475,0.948879184,0.57984233,161.6536236,60.22887324,0.369623565,0.09776417,0.881887332,Nature,21
jena_weather/10T/long,VISIT-1.0,2737.908466,2737.908466,13.27691386,0.753193086,0.843911633,0.498870573,197.6840597,52.32502714,0.320185813,0.081243712,1.070325464,Nature,21
electricity/D/short,VISIT-1.0,4108036968,4108036968,6964.321117,1.9870414,0.605206142,0.135822265,24.59530355,64093.96983,1.053276831,0.11444693,0.104059871,Energy,1
bizitobs_application/10S/short,VISIT-1.0,5848946.916,5848946.916,1048.041181,3.763641919,0.054429169,0.054187656,47.88283567,2418.459616,0.093270321,0.040418759,0.038218857,Web/CloudOps,2
bizitobs_application/10S/medium,VISIT-1.0,21648810.67,21648810.67,1831.66875,6.519459026,0.086603877,0.088870633,105.3625809,4652.828244,0.182702871,0.071924241,0.088534507,Web/CloudOps,2
bizitobs_application/10S/long,VISIT-1.0,20331799.89,20331799.89,2235.4125,7.207407834,0.095536151,0.099043316,110.0651573,4509.079717,0.173897181,0.086210925,0.097354213,Web/CloudOps,2
us_births/D/short,VISIT-1.0,2855120.213,2855120.213,1266.88,1.864839191,0.124728139,0.123336131,22.7305824,1689.710097,0.15839661,0.11875972,0.119526866,Healthcare,1
restaurant/D/short,VISIT-1.0,269.8283833,269.8283833,10.66129635,1.006075745,0.943422742,0.556122519,20.74904381,16.42645377,0.755983462,0.49065756,0.677016475,Sales,1
hierarchical_sales/D/short,VISIT-1.0,58.96940885,58.96940885,3.449524597,1.1348034,1.21994209,1.191277354,28.86725869,7.679154175,2.355879459,1.058275945,1.736457207,Sales,1
solar/D/short,VISIT-1.0,181869.8277,181869.8277,295.1889903,1.155861191,1.153558157,0.497782033,22.38113198,426.4619886,0.616092319,0.426447548,0.559065116,Energy,1
solar/H/short,VISIT-1.0,3225.926239,3225.926239,27.12943508,2.092858499,1,2,33.34841823,56.79723795,2.093565081,1,1.329536974,Energy,1
solar/H/medium,VISIT-1.0,3336.702433,3336.702433,27.76055543,2.120411643,1,2,103.2619245,57.76419681,2.080801191,1,2.976347252,Energy,1
solar/H/long,VISIT-1.0,3580.48824,3580.48824,28.84186436,2.20364724,1,2,126.3088285,59.83718108,2.074664118,1,3.458736881,Energy,1
hierarchical_sales/W/short,VISIT-1.0,1045.472193,1045.472193,13.56912076,1.025013378,0.950383746,0.579810788,15.29719066,32.33376243,1.484458849,0.622964971,0.832226753,Sales,1
ett2/W/short,VISIT-1.0,4688738.857,4688738.857,1323.111607,0.778520953,0.122171717,0.126986231,16.5654887,2165.349592,0.181639634,0.110988779,0.133677589,Energy,7
bizitobs_service/10S/short,VISIT-1.0,24411.64106,24411.64106,51.05920718,2.188686925,0.290195537,0.094460339,26.7612326,156.2422512,0.115749258,0.037826294,0.036596223,Web/CloudOps,2
bizitobs_service/10S/medium,VISIT-1.0,120879.2178,120879.2178,96.65106151,3.706699935,0.133569627,0.136550303,61.10936771,347.676887,0.261669818,0.072741866,0.095261789,Web/CloudOps,2
bizitobs_service/10S/long,VISIT-1.0,209141.5704,209141.5704,126.7116402,3.859549432,0.151007409,0.159075288,66.98322651,457.3199868,0.338797266,0.093872034,0.11879425,Web/CloudOps,2
m4_weekly/W/short,VISIT-1.0,453525.1459,453525.1459,347.9914828,2.777295047,0.089372895,0.091612867,26.6312252,673.4427562,0.122690834,0.063398655,0.060870395,Econ/Fin,1
electricity/H/short,VISIT-1.0,14602393.67,14602393.67,705.756806,3.922376437,0.521491589,0.398916196,34.02521326,3821.307848,1.803930207,0.333167615,0.29433055,Energy,1
electricity/H/medium,VISIT-1.0,70374987.67,70374987.67,969.0920327,4.089287698,0.590817583,0.392981279,100.0707776,8388.980133,3.274495255,0.378268539,0.559183307,Energy,1
electricity/H/long,VISIT-1.0,62374735.49,62374735.49,944.6613333,4.015252993,0.54411847,0.388921894,122.42396,7897.767754,3.11487731,0.372574156,0.668018805,Energy,1
